time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444900000	10.3823	1.47452	5.01577	0.289635	0.257773	lidar	0.957914	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6132	1.55383	4.77695	0.306621	0.261716	radar	1.81006	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8245	1.57711	4.71489	0.301709	0.245391	lidar	1.41828	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0942	1.64005	5.06154	0.305903	0.237973	radar	2.97234	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.379	1.68427	5.12916	0.301736	0.223734	lidar	2.6493	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6074	1.74599	4.98919	0.308909	0.220283	radar	0.730292	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8345	1.80217	4.95567	0.31331	0.214547	lidar	0.355801	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.0931	1.90002	5.23047	0.328371	0.21814	radar	1.10853	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.34	1.92937	5.19279	0.31975	0.201427	lidar	1.32374	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.595	2.00353	5.32045	0.325644	0.197761	radar	0.571471	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8023	2.11739	5.2513	0.34885	0.208997	lidar	2.58822	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0714	2.2337	5.46826	0.365052	0.213758	radar	1.93188	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2846	2.35705	5.4043	0.38766	0.223771	lidar	2.25607	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4604	2.47767	4.873	0.413247	0.236458	radar	10.3915	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.708	2.58774	4.93094	0.426077	0.237391	lidar	0.950216	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9289	2.69316	4.94547	0.438863	0.238132	radar	0.116822	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1598	2.83726	4.99368	0.46188	0.247566	lidar	0.79576	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4115	2.95619	5.28681	0.471789	0.245158	radar	0.941175	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6174	3.03436	5.1912	0.473765	0.236304	lidar	2.23921	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8517	3.18545	5.31841	0.494342	0.243663	radar	3.2523	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.072	3.36646	5.34705	0.524491	0.258999	lidar	1.3272	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2863	3.5141	5.08698	0.544684	0.265727	radar	2.9417	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.5034	3.69659	5.14148	0.572798	0.278499	lidar	1.09291	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.7149	3.82266	5.09661	0.582907	0.275229	radar	0.808983	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9344	3.97353	5.12177	0.598305	0.276688	lidar	0.14195	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1345	4.11306	4.87771	0.613294	0.278147	radar	1.14087	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3294	4.30668	4.93525	0.64297	0.291795	lidar	1.16904	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5435	4.46335	5.06415	0.656338	0.290624	radar	0.645633	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
